Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2002,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,6.53267502916579
2003,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,3.79408344537854
2004,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,2.31385222583399
2005,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.53809584683872
2006,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.04602424028709
2007,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.19185292581679
2008,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.56176567407121
2009,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,2.34672086431531
2010,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.48084560742015
2011,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.4461219345169
2012,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.29515628525042
2013,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.40030257058529
2014,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.79440261785124
2015,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.55748655885927
2016,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,0.872866656480822
2017,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.35879987989402
2018,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.5800238439966
2019,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.46236154074648
2020,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.41014129233772
2021,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.18883470494548
2022,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.66374681745561
2023,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.53531020950451
