Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1665.1
2015,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1785.1
2016,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1911.9
2017,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2040.7
2018,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2171.9
2019,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2304.8
2020,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2443.2
2021,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2591.1
2022,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2752.5
2023,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,2894.0
2024,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,3027.3
2000,A,3,1668.1,1162.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,666.9
2001,A,3,1668.1,1162.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,F,Y0T4,NUMBER,2025-03-27T00:00:00,2024,648.3
